"id","title","year","cast","genres","extract","thumbnail","thumbnail_width","thumbnail_height"
"93b69205-62bd-442b-a30b-968be918d7f5","Think Like a Dog",2020,"{""Josh Duhamel"",""Megan Fox""}","{Comedy,Family,""Science Fiction""}","Think Like a Dog is a 2020 American family sci-fi comedy film written and directed by Gil Junger. It stars Josh Duhamel and Megan Fox. The film was released through Premium VOD on June 9, 2020.","https://upload.wikimedia.org/wikipedia/en/3/37/Think_Like_a_Dog_poster.jpg",258,387
"de583209-cdee-4f44-bb78-59a350afca04","Da 5 Bloods",2020,"{""Delroy Lindo"",""Jonathan Majors"",""Clarke Peters"",""Norm Lewis"",""Isiah Whitlock Jr."",""Mélanie Thierry"",""Paul Walter Hauser"",""Jasper Pääkkönen"",""Jean Reno"",""Chadwick Boseman""}","{Drama,War}","Da 5 Bloods is a 2020 American war drama film directed, produced, and co-written by Spike Lee. It stars Delroy Lindo, Jonathan Majors, Clarke Peters, Johnny Trí Nguyễn, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Jean Reno, and Chadwick Boseman. The film's plot follows a group of four aging Vietnam War veterans who return to the country in search of the remains of their fallen squad leader, as well as the treasure they buried while serving there.","https://upload.wikimedia.org/wikipedia/en/f/f0/Da_5_Bloods_poster.jpeg",259,384
"d51278b9-53e2-47fc-a37d-c4ca7c551d41","Artemis Fowl",2020,"{""Ferdia Shaw"",""Lara McDonnell"",""Josh Gad"",""Tamara Smart"",""Nonso Anozie"",""Colin Farrell"",""Judi Dench""}","{Action,Adventure,Fantasy}","Artemis Fowl is a 2020 American science fantasy action adventure film based on the 2001 novel of the same name by Irish author Eoin Colfer. Directed by Kenneth Branagh, from a screenplay co-written by Conor McPherson and Hamish McColl, the film stars Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Colin Farrell, and Judi Dench. It details the adventures of Artemis Fowl II, a twelve-year-old Irish prodigy who teams up with his faithful servant, as well as a dwarf and a fairy, in order to rescue his father, Artemis Fowl I, who has been kidnapped by another fairy looking to reclaim an item the Fowl family has stolen.","https://upload.wikimedia.org/wikipedia/en/f/f4/Artemis_Fowl_poster.jpg",259,383
"d011f803-f72b-4c65-86b7-77e1ce6a2972","The King of Staten Island",2020,"{""Pete Davidson"",""Marisa Tomei"",""Bill Burr"",""Bel Powley"",""Maude Apatow"",""Steve Buscemi""}","{Comedy,Drama}","The King of Staten Island is a 2020 American comedy-drama film directed by Judd Apatow, from a screenplay by Apatow, Pete Davidson, and Dave Sirus. It stars Davidson, Marisa Tomei, Bill Burr, Bel Powley, Maude Apatow, and Steve Buscemi, and follows a young man who must get his life together after his mother starts dating a new man who, like his deceased father, is a firefighter.","https://upload.wikimedia.org/wikipedia/en/e/e4/The_King_of_Staten_Island.jpeg",251,397
"0961e174-bda8-40d8-9600-1012e59e59d7","Sniper: Assassin's End",2020,"{""Chad Michael Collins"",""Tom Berenger"",""Sayaka Akimoto"",""Lochlyn Munro"",""Ryan Robbins""}","{Action}","Sniper: Assassin's End is a 2020 American action film directed by Kaare Andrews and starring Chad Michael Collins, Tom Berenger and Sayaka Akimoto. The film is the eighth installment of the Sniper film series and a sequel to Sniper: Ultimate Kill (2017).","https://upload.wikimedia.org/wikipedia/en/5/51/Sniper-_Assassin%27s_End_poster.jpg",258,387
"768bda2d-78d9-48c4-ac20-ff5c694e8a49","You Should Have Left",2020,"{""Kevin Bacon"",""Amanda Seyfried""}","{Horror}","You Should Have Left is a 2020 American psychological horror film written and directed by David Koepp, based on the 2017 book of the same name by Daniel Kehlmann. It stars Kevin Bacon, and Amanda Seyfried. Jason Blum served as a producer through his Blumhouse Productions banner.","https://upload.wikimedia.org/wikipedia/en/7/73/You_Should_Have_Left_Poster_2020.jpeg",252,396
"a3b9d297-06ae-4059-8a99-4762ed43f758","Wasp Network",2020,"{""Penélope Cruz"",""Édgar Ramírez"",""Gael García Bernal"",""Ana de Armas"",""Wagner Moura""}","{Spy,Thriller}","Wasp Network is a 2019 spy thriller film written and directed by Olivier Assayas, based on the book The Last Soldiers of the Cold War by Fernando Morais. It stars Penélope Cruz, Édgar Ramírez, Gael García Bernal, Ana de Armas and Wagner Moura. It tells the true story of Cuban spies in American territory during the 1990s.","https://upload.wikimedia.org/wikipedia/en/7/7c/Wasp_Network.jpg",259,383
"187b5e0b-2135-405c-91dd-56baf3565c89","Feel the Beat",2020,"{""Sofia Carson"",""Enrico Colantoni"",""Wolfgang Novogratz""}","{Comedy,Dance,Drama,Family}","Feel the Beat is a 2020 American family dance comedy-drama film directed by Elissa Down, written by Michael Armbruster and Shawn Ku and starring Sofia Carson, Enrico Colantoni and Wolfgang Novogratz.","https://upload.wikimedia.org/wikipedia/en/5/5a/Feel_the_Beat_%28film%29_poster.jpg",259,384
"36c9ff9a-603f-4cb8-9836-5352690ab7fb","7500",2020,"{""Joseph Gordon-Levitt""}","{Action,Thriller}","7500 is a 2019 action-thriller film written by Senad Halilbašić and Patrick Vollrath and directed by Patrick Vollrath in his directorial feature-length film debut. It stars Joseph Gordon-Levitt as Tobias Ellis, a pilot whose plane is hijacked by terrorists. An international co-production between Austria, Germany, and the United States, filming took place in November 2017 in Cologne and Vienna. The title is in reference to Emergency Transponder Code for ""unlawful interference"".","https://upload.wikimedia.org/wikipedia/en/7/70/7500_poster.jpg",265,375
"4265f5e7-4e11-423a-ae4d-c7de15d3b7eb","Athlete A",2020,"{}","{Documentary}","Athlete A is a 2020 American documentary film directed by Bonni Cohen and Jon Shenk. The documentary follows a team of investigative journalists from The Indianapolis Star as they broke the story of doctor Larry Nassar sexually assaulting young female gymnasts and the subsequent allegations that engulfed USA Gymnastics (USAG) and its then-CEO Steve Penny. It was released on June 24, 2020, by Netflix.","https://upload.wikimedia.org/wikipedia/en/4/44/Athlete_A_poster.jpg",220,326
"e9f8c632-f07c-4012-a3dc-b5b56c69183d","Eurovision Song Contest: The Story of Fire Saga",2020,"{""Will Ferrell"",""Rachel McAdams"",""Dan Stevens"",""Demi Lovato"",""Pierce Brosnan""}","{Comedy,Musical}","Eurovision Song Contest: The Story of Fire Saga is a 2020 American musical comedy film directed by David Dobkin, written by Will Ferrell and Andrew Steele, and starring Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, and Pierce Brosnan. The film follows the personally close Icelandic singers Lars Erickssong and Sigrit Ericksdóttir as they are given the chance to represent their country at the Eurovision Song Contest.","https://upload.wikimedia.org/wikipedia/en/d/da/Eurovision_Song_Contest-_The_Story_of_Fire_Saga_poster.jpg",259,383
"703af744-8bed-4347-9933-0b37458d1c2e","Irresistible",2020,"{""Steve Carell"",""Chris Cooper"",""Mackenzie Davis"",""Topher Grace"",""Natasha Lyonne"",""Rose Byrne""}","{Comedy,Political}","Irresistible is a 2020 American political comedy film written and directed by Jon Stewart. It stars Steve Carell in the lead role, Chris Cooper, Mackenzie Davis, Topher Grace, Natasha Lyonne, and Rose Byrne. The film follows a Democratic strategist who tries to help a candidate win a local election in a small right-wing town. Originally set for a theatrical release in May 2020, the film was delayed due to the COVID-19 pandemic in the United States, and then released on Premium VOD and selected theaters on June 26, 2020, by Focus Features. It received mixed reviews from critics, who called it ""a soft political satire"".","https://upload.wikimedia.org/wikipedia/en/6/6e/Irresistible_2020_poster.jpg",259,384
